x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,y
2.151302217,1.261139251,0.380764556,0.122061891,1.937514484,-0.544919206,-1.56164735,2.878014051,-0.827821094,1.435843718,-2.197239333,-1.743291238,1
-0.115937939,1.591839404,-0.622890155,-1.879675903,-1.85895112,2.922651358,-1.277111763,0.635752442,2.387718958,0.782954353,0.10439056,-2.254505317,0
1.108705846,-0.060229156,0.936003273,1.355992765,-3.44496035,-1.301569206,2.974021286,2.655786637,-0.987679105,0.675795488,-1.036554889,0.928070004,1
-2.63790709,-0.257359111,-2.816836548,2.22769704,-0.389999484,1.296231772,-1.302788837,-0.797572464,2.037859469,0.67735079,0.264783304,-0.655123526,1
-0.104737841,1.995354765,-1.092140089,1.427008886,-0.5859565,1.935334168,-0.25736281,-0.645906687,0.192366974,-0.270934517,-1.008254072,-1.563136339,0
0.677858291,1.467082437,-0.17472952,-0.492601389,-0.250184035,-0.549368575,2.245913465,-1.500408739,-3.737041589,-0.346738035,-0.144929582,0.332552506,0
-2.937549684,0.544695613,1.374132647,-0.241935633,-0.529403948,5.323359991,3.39602621,-1.717262398,0.043588321,1.176426767,-0.919607465,-1.294471962,1
-0.002286389,3.531117693,-1.013733634,0.945908681,2.436793397,1.449212413,0.302708022,2.182719157,-0.114411678,-1.533195081,-1.654401756,0.745795152,1
-0.398004001,0.297525614,0.405858475,-1.412543413,-1.445414139,-0.695873666,0.174659207,0.812350545,2.747097924,0.465970655,-0.017713101,1.572251718,0
2.344833928,0.424883076,-1.760884417,1.829407884,-0.908872965,3.056647745,3.166899665,0.344851172,0.907374047,-0.536238113,-0.951282812,0.341256943,1
0.514152095,0.283585935,1.182752337,2.914068169,0.391978558,1.69667474,-0.407204539,0.183378649,-2.982253515,-2.183744594,1.839902673,-0.505711383,0
2.3586381,-0.026723233,-2.250878355,0.291079917,-2.319271626,-2.039699984,-0.249795189,-1.642043393,0.296748538,-1.597659752,1.275348327,-0.444580455,1
-1.120102115,-0.104769735,-0.389295861,-0.109838275,0.96758802,3.39947269,1.68804771,-1.353093996,0.450704234,1.11795097,1.528819315,1.176585812,1
0.459974738,-0.477468585,-0.970945276,-1.169670854,-0.585080462,0.235894513,-0.022934866,-1.008116752,0.23628164,0.204741429,0.702311201,0.366685736,0
-2.145728757,-3.168645248,1.329911447,-3.026993344,-0.122911753,-0.865950299,-1.942381061,0.804344515,-0.291264622,0.306318733,-1.089179673,-1.919181033,1
1.791639814,0.134863701,0.303738177,-1.367821939,1.036259921,-0.966468066,0.158313076,-5.45309338,-0.502549263,-0.359888077,-1.493221014,1.071282821,0
-0.723102084,0.499109924,0.594239719,0.128466938,-1.271285107,0.17278479,-1.348806115,-1.96504886,-0.745463074,-0.427990691,-1.590496552,1.316910451,1
1.976793529,0.717121317,1.908162442,-0.371084295,-1.212946795,2.553882863,-0.357822939,-1.331538987,1.715243738,-1.862508872,0.664207304,3.05317218,0
-1.694747353,0.443811277,0.295533832,1.103045832,-1.973144335,-1.417651344,1.870467161,0.78999012,2.272117175,-3.46449036,3.401292748,-1.397911515,0
-1.389527111,1.009747386,2.814332476,0.422385278,-1.284870638,-0.125207742,0.429756747,-0.132061067,-2.071857614,-1.113446531,-0.250219192,1.5686657,0
